time,price,volume
1577610109000,6.08,null
1577610140000,6.08,null
1577610172000,6.08,null
1577610203000,6.08,null
1577610235000,6.08,null
1577610284000,6.08,null
1577610316000,6.08,null
1577610347000,6.08,null
1577610378000,6.08,null
1577610410000,6.08,null
1577610444000,6.08,null
1577613001000,6.12,null
1577613032000,6.12,null
1577613063000,6.12,null
1577613095000,6.12,null
1577613126000,6.12,null
1577613159000,6.12,null
1577613190000,6.12,null
1577613221000,6.12,null
1577613253000,6.12,null
1577613284000,6.12,null
1577613316000,6.11,null
1577613347000,6.11,null
1577613378000,6.11,null
1577613410000,6.11,null
1577613442000,6.11,null
1577613473000,6.1,null
1577613505000,6.1,null
1577613537000,6.1,null
1577613568000,6.1,null
1577613599000,6.1,null
1577613631000,6.1,null
1577613668000,6.1,null
1577613699000,6.1,null
1577613732000,6.1,null
1577613764000,6.09,null
1577613796000,6.08,null
1577613827000,6.08,null
1577613858000,6.07,null
1577613889000,6.07,null
1577613922000,6.09,null
1577613954000,6.09,null
1577613986000,6.09,null
1577614017000,6.09,null
1577614048000,6.09,null
1577614079000,6.09,null
1577614111000,6.09,null
1577614143000,6.09,null
1577614175000,6.1,null
1577614206000,6.09,null
1577614237000,6.08,null
1577614269000,6.08,null
1577614300000,6.07,null
1577614334000,6.07,null
1577614365000,6.07,null
1577614396000,6.07,null
1577614428000,6.07,null
1577614459000,6.07,null
1577614491000,6.07,null
1577614522000,6.07,null
1577614553000,6.07,null
1577614585000,6.07,null
1577614616000,6.07,null
1577614647000,6.07,null
1577614679000,6.07,null
1577614710000,6.07,null
1577614741000,6.07,null
1577614773000,6.07,null
1577614804000,6.07,null
1577614835000,6.07,null
1577614866000,6.07,null
1577614910000,6.07,null
1577614941000,6.07,null
1577614983000,6.07,null
1577615014000,6.07,null
1577615045000,6.08,null
1577615076000,6.08,null
1577615108000,6.08,null
1577615140000,6.07,null
1577615171000,6.07,null
1577615202000,6.07,null
1577615235000,6.07,null
1577615267000,6.07,null
1577615299000,6.07,null
1577615330000,6.07,null
1577615361000,6.06,null
1577615392000,6.06,null
1577615424000,6.06,null
1577615458000,6.06,null
1577615490000,6.06,null
1577615521000,6.06,null
1577615553000,6.05,null
1577615882000,6.07,null
1577615913000,6.07,null
1577615944000,6.1,null
1577615975000,6.1,null
1577616007000,6.1,null
1577616038000,6.1,null
1577616069000,6.1,null
1577616100000,6.1,null
1577616131000,6.1,null
1577616163000,6.1,null
1577616194000,6.1,null
1577616225000,6.1,null
1577616256000,6.1,null
1577616288000,6.1,null
1577616319000,6.07,null
1577616351000,6.08,null
1577616382000,6.08,null
1577616413000,6.09,null
1577616444000,6.09,null
1577616475000,6.09,null
1577616506000,6.09,null
1577616537000,6.09,null
1577616569000,6.09,null
1577616601000,6.09,null
1577616632000,6.09,null
1577616663000,6.08,null
1577616694000,6.08,null
1577616725000,6.08,null
1577616756000,6.08,null
1577616788000,6.08,null
1577616819000,6.08,null
1577616850000,6.08,null
1577616881000,6.08,null
1577616913000,6.08,null
1577616944000,6.07,null
1577616976000,6.09,null
1577617007000,6.09,null
1577617038000,6.07,null
1577617069000,6.07,null
1577617101000,6.07,null
1577617134000,6.07,null
1577617165000,6.07,null
1577617196000,6.09,null
1577617228000,6.09,null
1577617258000,6.09,null
1577617289000,6.09,null
1577617321000,6.09,null
1577617353000,6.09,null
1577617384000,6.09,null
1577617415000,6.09,null
1577617620000,6.09,null
1577617652000,6.09,null
1577617683000,6.08,null
1577617715000,6.08,null
1577617746000,6.08,null
1577617778000,6.07,null
1577617809000,6.07,null
1577617840000,6.07,null
1577617871000,6.07,null
1577617902000,6.07,null
1577617933000,6.07,null
1577617965000,6.07,null
1577617996000,6.07,null
1577618027000,6.07,null
1577618058000,6.07,null
1577618089000,6.09,null
1577618120000,6.09,null
1577618152000,6.07,null
1577618183000,6.07,null
1577618214000,6.06,null
1577618245000,6.06,null
1577618276000,6.06,null
1577618307000,6.06,null
1577618339000,6.06,null
1577618370000,6.06,null
1577618402000,6.06,null
1577618437000,6.06,null
1577618474000,6.06,null
1577618505000,6.06,null
1577618670000,6.07,null
1577618883000,6.07,null
1577619242000,6.1,null
1577619273000,6.1,null
1577619305000,6.11,null
1577619338000,6.11,null
1577619370000,6.11,null
1577619433000,6.12,null
1577619464000,6.12,null
1577619496000,6.11,null
1577619529000,6.11,null
1577619560000,6.11,null
1577619592000,6.11,null
1577619623000,6.11,null
1577619654000,6.1,null
1577619685000,6.1,null
1577619716000,6.1,null
1577619748000,6.1,null
1577619780000,6.1,null
1577619811000,6.1,null
1577619842000,6.1,null
1577619875000,6.1,null
1577619906000,6.07,null
1577619938000,6.07,null
1577619969000,6.07,null
1577620000000,6.09,null
1577620032000,6.09,null
1577620064000,6.09,null
1577620095000,6.09,null
1577620127000,6.09,null
1577620158000,6.09,null
1577620190000,6.09,null
1577620222000,6.09,null
1577620253000,6.09,null
1577620285000,6.09,null
1577620317000,6.09,null
1577620348000,6.09,null
1577620380000,6.09,null
1577620411000,6.09,null
1577620442000,6.09,null
1577620474000,6.09,null
1577620505000,6.09,null
1577620538000,6.09,null
1577620569000,6.09,null
1577620600000,6.09,null
1577620632000,6.09,null
1577620663000,6.09,null
1577620694000,6.09,null
1577620726000,6.08,null
1577620758000,6.08,null
1577620790000,6.08,null
1577620821000,6.08,null
1577620852000,6.08,null
1577620884000,6.08,null
1577620916000,6.09,null
1577620947000,6.08,null
1577620980000,6.07,null
1577621012000,6.07,null
1577621044000,6.07,null
1577621075000,6.07,null
1577621106000,6.07,null
1577621139000,6.07,null
1577621171000,6.09,null
1577621203000,6.09,null
1577621235000,6.09,null
1577621266000,6.09,null
1577621297000,6.09,null
1577621331000,6.09,null
1577621363000,6.09,null
1577621395000,6.09,null
1577621426000,6.09,null
1577621459000,6.08,null
1577621490000,6.08,null
1577621522000,6.08,null
1577621553000,6.08,null
1577621585000,6.08,null
1577621617000,6.08,null
1577621648000,6.08,null
1577621680000,6.08,null
1577621712000,6.08,null
1577621744000,6.08,null
1577621775000,6.08,null
1577621806000,6.08,null
1577621838000,6.09,null
1577621870000,6.09,null
1577621902000,6.08,null
1577621934000,6.08,null
1577621966000,6.08,null
1577621997000,6.08,null
1577622029000,6.08,null
1577622061000,6.08,null
1577622092000,6.08,null
1577622124000,6.09,null
1577622156000,6.08,null
1577622187000,6.08,null
1577622218000,6.07,null
1577622249000,6.07,null
1577622280000,6.07,null
1577622311000,6.08,null
1577622354000,6.08,null
1577622385000,6.08,null
1577622417000,6.08,null
1577622448000,6.08,null
1577622479000,6.08,null
1577622591000,6.07,null
1577622622000,6.09,null
1577622654000,6.07,null
1577622798000,6.07,null
1577622830000,6.07,null
1577622861000,6.07,null
1577622892000,6.07,null
1577622924000,6.07,null
1577622955000,6.07,null
1577622987000,6.07,null
1577623018000,6.07,null
1577623049000,6.07,null
1577623080000,6.07,null
1577623111000,6.07,null
1577623143000,6.07,null
